pump_l	pow_lin	freq_qu	Ic	Qc
1.000000000000000056e-01	1.000000000000000021e-02	3.516480000000000050e+00	-5.923379243008604009e-03	1.013231236176037262e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.516640000000000210e+00	-6.027576638605142492e-03	9.633245483247688742e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.516799999999999926e+00	-6.397606659239006392e-03	9.993306912242205797e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.516960000000000086e+00	-6.469330640103165483e-03	9.870342128749612365e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.517119999999999802e+00	-6.001751205557225369e-03	1.002432600735293430e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.517279999999999962e+00	-6.158225529480991847e-03	1.004494909515767607e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.517440000000000122e+00	-6.088658250548054790e-03	9.918697630019226649e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.517599999999999838e+00	-5.760985394787221728e-03	1.003308866607375421e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.517759999999999998e+00	-5.936392274300849800e-03	1.013832160951681424e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.517920000000000158e+00	-6.345366451129813047e-03	1.004392097327228180e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.518079999999999874e+00	-6.056100126871312092e-03	9.801388492420416362e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.518240000000000034e+00	-5.918424028081140965e-03	9.697885643282977072e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.518400000000000194e+00	-6.107834211243367770e-03	9.490427892916051059e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.518559999999999910e+00	-6.008321703766649619e-03	9.803307398901272077e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.518720000000000070e+00	-5.966825739077951871e-03	1.014666115368802191e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.518879999999999786e+00	-5.853919936714852348e-03	9.994627442429166939e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.519039999999999946e+00	-5.856526501108951996e-03	9.667462638032890340e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.519200000000000106e+00	-5.363358462854014158e-03	1.004289867349812855e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.519359999999999822e+00	-5.596223525412336898e-03	9.625082447486714432e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.519519999999999982e+00	-5.955095258972680633e-03	9.958427969472473384e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.519680000000000142e+00	-5.900691647362921524e-03	9.952519473155310020e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.519839999999999858e+00	-5.884863186629004511e-03	1.030035577839217772e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.520000000000000018e+00	-6.431547263727290138e-03	1.026629930936976548e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.520160000000000178e+00	-6.063822398606965106e-03	9.291642105148165479e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.520319999999999894e+00	-6.026476133618597318e-03	9.848135531532600101e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.520480000000000054e+00	-5.605096082648652195e-03	9.850322012407715377e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.520640000000000214e+00	-5.598342950565781545e-03	9.675934257844841582e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.520799999999999930e+00	-5.151316720955470205e-03	9.684809402406166501e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.520960000000000090e+00	-5.326680824663397769e-03	1.010794790542158400e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.521119999999999806e+00	-5.302831830993535306e-03	9.755859576459484719e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.521279999999999966e+00	-5.132080064876494603e-03	1.011020887382610249e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.521440000000000126e+00	-5.928633242931485685e-03	9.775215680899545373e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.521599999999999842e+00	-6.044580683097482143e-03	9.937489448746930978e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.521760000000000002e+00	-6.003497150080909506e-03	1.004200834504438179e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.521920000000000162e+00	-6.284889480271344496e-03	9.928115730932163263e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.522079999999999878e+00	-5.197096666226213094e-03	1.022389903737122747e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.522240000000000038e+00	-4.004669554813503063e-03	9.779418406832282931e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.522400000000000198e+00	-2.873970700259703085e-03	1.053200956636308680e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.522559999999999913e+00	-1.270951973452873630e-03	1.067049488929238017e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.522720000000000073e+00	4.549127034639607729e-04	1.077426356769413222e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.522879999999999789e+00	6.616917462412273991e-04	1.055319963705085053e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.523039999999999949e+00	8.251513725316824647e-04	1.053104884716398945e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.523200000000000109e+00	7.430880467088008196e-04	1.068459236187364533e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.523359999999999825e+00	6.948130417517302910e-04	1.054154731701355090e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.523519999999999985e+00	-3.300499988472069962e-04	1.015481412012314566e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.523680000000000145e+00	-2.395766409206303519e-03	1.036035634039177665e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.523839999999999861e+00	-3.801668472256468975e-03	1.017608099748638223e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.524000000000000021e+00	-4.921539396240853445e-03	1.002854352820418439e-02
1.000000000000000056e-01	1.000000000000000021e-02	3.524160000000000181e+00	-5.948471557826308896e-03	9.679144761861076598e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.524319999999999897e+00	-5.998648911566631728e-03	9.931390119759370833e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.524480000000000057e+00	-6.228537272360353157e-03	9.948415265910033958e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.524640000000000217e+00	-5.951571437246045045e-03	9.990785443443698718e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.524799999999999933e+00	-5.997800153414063751e-03	9.911877762989735122e-03
1.000000000000000056e-01	1.000000000000000021e-02	3.524960000000000093e+00	-5.552748139119699847e-03	9.949370883108430916e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.500000000000000000e+00	-6.200661063391787152e-03	9.819083494284256905e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.500160000000000160e+00	-6.320303761822638165e-03	1.053913525390896486e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.500319999999999876e+00	-6.314756960593049043e-03	9.730065351222932230e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.500480000000000036e+00	-6.633152996995730563e-03	9.894201774289635917e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.500640000000000196e+00	-5.839653654797878450e-03	9.975124880011046816e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.500799999999999912e+00	-6.204384584878362176e-03	9.466741939052482346e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.500960000000000072e+00	-6.562596534474560497e-03	9.685787354296008719e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.501119999999999788e+00	-6.412401925180115543e-03	9.569640697481257563e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.501279999999999948e+00	-6.513631211533854430e-03	9.821641860670068946e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.501440000000000108e+00	-5.862697015424905324e-03	9.840188865047025044e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.501599999999999824e+00	-6.375108493895092349e-03	9.876146294453443109e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.501759999999999984e+00	-6.125608671143842159e-03	1.007698193910173262e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.501920000000000144e+00	-6.582603526108153809e-03	9.934573995688590967e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.502079999999999860e+00	-5.626158565006250147e-03	1.012271196762878564e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.502240000000000020e+00	-6.671883632712456193e-03	9.905992890756977476e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.502400000000000180e+00	-6.198637420341746550e-03	9.879752606154493244e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.502559999999999896e+00	-6.462182027226160905e-03	9.966556509660292815e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.502720000000000056e+00	-5.921230019469271230e-03	1.020934881897540142e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.502880000000000216e+00	-5.897229386168576643e-03	9.500382187890170360e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.503039999999999932e+00	-6.062047478957051198e-03	1.002086721285121509e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.503200000000000092e+00	-6.660338153778620068e-03	1.005241288942413345e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.503359999999999808e+00	-5.862263227041813671e-03	9.507947577046389070e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.503519999999999968e+00	-6.542648424524533449e-03	9.958907913607055809e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.503680000000000128e+00	-5.997906388871716843e-03	9.894303314405453187e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.503839999999999844e+00	-6.439253973401529337e-03	9.675988622411767909e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.504000000000000004e+00	-6.175464315554961801e-03	9.247324131002196412e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.504160000000000164e+00	-5.770230376657212688e-03	9.918532428820120775e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.504319999999999879e+00	-6.355963760243234749e-03	9.595544481795951347e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.504480000000000040e+00	-6.418296345213915163e-03	1.011837694758590568e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.504640000000000200e+00	-6.200263115627244019e-03	9.817908310391389864e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.504799999999999915e+00	-6.228183384620727611e-03	1.010352392700982968e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.504960000000000075e+00	-6.448783264071873342e-03	9.554932373403041482e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.505119999999999791e+00	-6.346440357729200496e-03	9.946833458668057071e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.505279999999999951e+00	-6.141406411017065296e-03	9.897402299854477642e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.505440000000000111e+00	-6.222180232150715216e-03	9.872878955976278903e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.505599999999999827e+00	-6.324546059452988006e-03	9.713146240570338583e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.505759999999999987e+00	-6.413150995985281502e-03	9.391975976609873156e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.505920000000000147e+00	-6.330015170242625153e-03	9.927035481179449436e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.506079999999999863e+00	-6.468715999302982259e-03	1.009802056125572341e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.506240000000000023e+00	-6.455436105426412552e-03	9.936444544172168269e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.506400000000000183e+00	-6.027300929044538541e-03	9.809063364422982920e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.506559999999999899e+00	-5.630717753516882064e-03	9.690284506297105332e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.506720000000000059e+00	-6.403542848275588575e-03	9.871954455986478236e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.506880000000000219e+00	-6.276855556422150997e-03	9.674519571307447011e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.507039999999999935e+00	-6.294214434176564725e-03	1.047368124225287085e-02
1.000000000000000056e-01	4.000000000000000083e-02	3.507200000000000095e+00	-6.311272216509225194e-03	9.777602652815972975e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.507359999999999811e+00	-6.044633232069010487e-03	9.799413505581446374e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.507519999999999971e+00	-6.842699515781196229e-03	9.801947873590191596e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.507680000000000131e+00	-6.436411263379647474e-03	9.323008585389397362e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.507839999999999847e+00	-6.199865354104635955e-03	9.919569306006563447e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.508000000000000007e+00	-5.932229414107197986e-03	9.771720998438327907e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.508160000000000167e+00	-5.751226533313522592e-03	9.738861555551040633e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.508319999999999883e+00	-6.071598110196746792e-03	9.678685527582020845e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.508480000000000043e+00	-6.225682784600766045e-03	9.901937581748270628e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.508640000000000203e+00	-6.261875010729633408e-03	9.674969201061546162e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.508799999999999919e+00	-6.139914109107007939e-03	9.787970471328608091e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.508960000000000079e+00	-6.223114263183347587e-03	9.833561841718461635e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.509119999999999795e+00	-6.137782143920147114e-03	9.914167852279321541e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.509279999999999955e+00	-6.412768407493883369e-03	9.862954707589527067e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.509440000000000115e+00	-6.601710795787956582e-03	9.896975053354482854e-03
1.000000000000000056e-01	4.000000000000000083e-02	3.509599999999999831e+00	-6.537453329349755295e-03	1.002182580509219934e-02
